ticker,session_date,entry_rule,exit_rule,status,entry_idx,exit_idx,entry_price,exit_price,entry_ts,exit_ts,bars_held,underlying_pnl,underlying_pct,hit_daily_target,hit_daily_stop
SPY,2026-03-09,A,Y,ok,0.0,33.0,667.45,665.3107,2026-03-09 09:30:00-04:00,2026-03-09 10:03:00-04:00,33.0,-2.1393000000000484,-0.0032051839089071066,False,False
SPY,2026-03-09,A,Z,ok,0.0,10.0,667.45,664.19,2026-03-09 09:30:00-04:00,2026-03-09 09:40:00-04:00,10.0,-3.259999999999991,-0.00488426099333282,False,False
SPY,2026-03-09,B,X,ok,0.0,180.0,667.45,670.4222,2026-03-09 09:30:00-04:00,2026-03-09 12:30:00-04:00,180.0,2.97219999999993,0.004453067645516413,False,False
SPY,2026-03-09,B,Y,ok,0.0,33.0,667.45,665.3107,2026-03-09 09:30:00-04:00,2026-03-09 10:03:00-04:00,33.0,-2.1393000000000484,-0.0032051839089071066,False,False
SPY,2026-03-09,B,Z,ok,0.0,10.0,667.45,664.19,2026-03-09 09:30:00-04:00,2026-03-09 09:40:00-04:00,10.0,-3.259999999999991,-0.00488426099333282,False,False
SPY,2026-03-09,C,X,ok,25.0,205.0,664.105,671.59,2026-03-09 09:55:00-04:00,2026-03-09 12:55:00-04:00,180.0,7.485000000000014,0.011270808080047602,False,False
SPY,2026-03-09,C,Y,ok,25.0,33.0,664.105,665.3107,2026-03-09 09:55:00-04:00,2026-03-09 10:03:00-04:00,8.0,1.205699999999979,0.0018155261592669517,False,False
SPY,2026-03-09,C,Z,ok,25.0,205.0,664.105,671.59,2026-03-09 09:55:00-04:00,2026-03-09 12:55:00-04:00,180.0,7.485000000000014,0.011270808080047602,False,False
AMZN,2026-03-09,A,X,ok,0.0,23.0,212.295,207.8,2026-03-09 09:30:00-04:00,2026-03-09 09:53:00-04:00,23.0,-4.494999999999976,-0.021173367248404233,False,True
AMZN,2026-03-09,A,Y,ok,0.0,47.0,212.295,209.1,2026-03-09 09:30:00-04:00,2026-03-09 10:17:00-04:00,47.0,-3.194999999999993,-0.015049812760545437,False,True
