ticker,session_date,entry_open,prior_close,prior_poc,prior_val,prior_vah,gap_pct,target_px,stop_px,outcome,exit_px,exit_date,bars_held,underlying_pnl,underlying_pct,status,symbol,expiry,strike,entry_opt,exit_opt,opt_pnl,opt_pnl_pct
SPY,2025-03-31,549.83,555.83,555.83,555.08,558.93,-0.010794667434287461,555.83,543.83,target,555.83,2025-04-01,1,6.0,0.010912463852463488,ok,SPY250404C00550000,2025-04-04,550.0,7.34,14.61,727.0,0.9904632152588555
JPM,2025-04-02,241.6,243.63,243.58,242.48,244.98,-0.008332307187128027,243.58,239.57,stop,239.57,2025-04-03,1,-2.030000000000001,-0.008402317880794707,ok,JPM250404C00242500,2025-04-04,242.5,2.5,0.06,-244.0,-0.976
SPY,2025-04-02,555.05,561.03,560.77,557.32,561.73,-0.010658966543678624,560.77,549.0699999999999,stop,549.0699999999999,2025-04-03,1,-5.980000000000018,-0.01077380416178726,ok,SPY250404C00555000,2025-04-04,555.0,6.49,1.03,-546.0,-0.8412942989214175
SPY,2025-04-03,545.11,564.65,565.38,560.98,565.78,-0.03460550783671294,565.38,525.57,stop,525.57,2025-04-04,1,-19.539999999999964,-0.035845976041532834,ok,SPY250404C00545000,2025-04-04,545.0,5.78,0.01,-577.0,-0.9982698961937717
JPM,2025-04-03,234.27,245.81,246.08,245.08,246.18,-0.04694682885155198,246.08,222.73000000000002,stop,222.73000000000002,2025-04-04,1,-11.539999999999992,-0.04925940154522556,ok,JPM250404C00235000,2025-04-04,235.0,1.5,0.01,-149.0,-0.9933333333333333
JPM,2025-04-04,215.305,228.69,228.73,227.58,231.53,-0.05852901307446758,228.73,201.92000000000002,target,228.73,2025-04-09,3,13.424999999999983,0.06235340563386815,ok,JPM250411C00215000,2025-04-11,215.0,7.69,6.58,-111.00000000000003,-0.14434330299089732
SPY,2025-04-04,523.67,537.64,542.23,540.12,546.77,-0.025983929767130473,542.23,509.69999999999993,stop,509.69999999999993,2025-04-07,1,-13.970000000000027,-0.026677105810911508,ok,SPY250411C00524000,2025-04-11,524.0,12.29,5.14,-715.0,-0.5817737998372661
SPY,2025-04-07,489.19,505.5,512.17,506.98,519.33,-0.0322650840751731,512.17,472.88,target,512.17,2025-04-08,1,22.97999999999996,0.046975612747603104,ok,SPY250411C00489000,2025-04-11,489.0,16.35,29.93,1357.9999999999998,0.8305810397553515
JPM,2025-04-07,205.77,210.23,212.18,209.83,213.22,-0.02121485991533073,212.18,201.31000000000003,target,212.18,2025-04-08,1,6.409999999999997,0.031151285415755438,ok,JPM250411C00205000,2025-04-11,205.0,9.47,20.95,1147.9999999999998,1.2122492080253429
JPM,2025-04-09,212.5,216.91,216.43,213.28,224.28,-0.02033101286247751,216.43,208.09,target,216.43,2025-04-10,1,3.930000000000007,0.018494117647058855,ok,JPM250411C00212500,2025-04-11,212.5,11.1,13.5,240.00000000000003,0.21621621621621626
SPY,2025-04-16,531.68,537.72,538.13,537.38,540.73,-0.011232611768206644,538.13,525.6399999999999,stop,525.6399999999999,2025-04-17,1,-6.040000000000077,-0.011360216671682362,no_bars,SPY250418C00532000,,,,,,
JPM,2025-04-16,232.0,233.09,234.03,232.88,236.38,-0.004676305289802237,234.03,230.91,target,234.03,2025-04-17,1,2.030000000000001,0.008750000000000004,no_bars,JPM250418C00232000,,,,,,
JPM,2025-04-21,230.63,231.96,232.08,231.33,233.38,-0.005733747197792777,232.08,229.29999999999998,target,232.08,2025-04-22,1,1.450000000000017,0.006287126566361779,ok,JPM250425C00230000,2025-04-25,230.0,4.39,6.9,251.00000000000006,0.5717539863325742
