split,rule,level_name,target_mult,stop_mult,n,hit,stop,timeout,expectancy_atr
oos,S2,prior_close,0.75,0.5,11,0.6363636363636364,0.36363636363636365,0.0,0.29545454545454547
oos,S2,prior_high,0.75,0.5,9,0.4444444444444444,0.5555555555555556,0.0,0.05555555555555555
oos,S2,prior_low,0.75,0.5,5,0.0,1.0,0.0,-0.5
oos,S2,vah,0.75,0.5,4,0.75,0.25,0.0,0.4375
oos,S2,val,0.75,0.5,4,0.25,0.75,0.0,-0.1875
oos,S3,poc,0.75,0.5,23,0.5652173913043478,0.43478260869565216,0.0,0.20652173913043478
oos,S3,prior_close,0.75,0.5,32,0.40625,0.59375,0.0,0.0078125
oos,S3,prior_high,0.75,0.5,26,0.34615384615384615,0.6538461538461539,0.0,-0.0673076923076923
oos,S3,prior_low,0.75,0.5,25,0.48,0.52,0.0,0.1
oos,S3,vah,0.75,0.5,20,0.4,0.6,0.0,0.0
oos,S3,val,0.75,0.5,23,0.34782608695652173,0.6521739130434783,0.0,-0.06521739130434782
oos,S4,poc,0.75,0.5,30,0.13333333333333333,0.8666666666666667,0.0,-0.3333333333333333
oos,S4,prior_close,0.75,0.5,31,0.22580645161290322,0.7741935483870968,0.0,-0.21774193548387097
oos,S4,prior_high,0.75,0.5,22,0.22727272727272727,0.7727272727272727,0.0,-0.2159090909090909
oos,S4,prior_low,0.75,0.5,33,0.3333333333333333,0.6666666666666666,0.0,-0.08333333333333333
oos,S4,vah,0.75,0.5,18,0.2222222222222222,0.7777777777777778,0.0,-0.2222222222222222
oos,S4,val,0.75,0.5,29,0.27586206896551724,0.7241379310344828,0.0,-0.15517241379310345
oos,S1,poc,0.75,0.75,4,0.25,0.75,0.0,-0.375
oos,S1,prior_close,0.75,0.75,6,0.6666666666666666,0.3333333333333333,0.0,0.25
oos,S1,prior_high,0.75,0.75,6,0.3333333333333333,0.6666666666666666,0.0,-0.25
oos,S1,prior_low,0.75,0.75,6,0.5,0.5,0.0,0.0
oos,S1,vah,0.75,0.75,2,0.5,0.5,0.0,0.0
oos,S1,val,0.75,0.75,5,0.2,0.8,0.0,-0.45
oos,S2,poc,0.75,0.75,7,0.5714285714285714,0.42857142857142855,0.0,0.10714285714285714
oos,S2,prior_close,0.75,0.75,11,0.6363636363636364,0.36363636363636365,0.0,0.20454545454545456
oos,S2,prior_high,0.75,0.75,9,0.4444444444444444,0.5555555555555556,0.0,-0.08333333333333333
oos,S2,prior_low,0.75,0.75,5,0.4,0.6,0.0,-0.15
oos,S2,vah,0.75,0.75,4,0.75,0.25,0.0,0.375
oos,S2,val,0.75,0.75,4,0.5,0.5,0.0,0.0
oos,S3,poc,0.75,0.75,23,0.782608695652174,0.21739130434782608,0.0,0.42391304347826086
oos,S3,prior_close,0.75,0.75,32,0.5,0.5,0.0,0.0
oos,S3,prior_high,0.75,0.75,26,0.4230769230769231,0.5769230769230769,0.0,-0.11538461538461539
