split,rule,level_name,target_mult,stop_mult,n_train,hit_train,stop,timeout,exp_train,n_oos,hit_oos,exp_oos,base_train,base_oos,edge_train,edge_oos
train,S2,prior_high,0.3,1.5,99,0.8080808080808081,0.1919191919191919,0.0,-0.045454545454545456,9,0.5555555555555556,-0.5,-0.04075022404301628,-0.07194767441860465,-0.004704321411529176,-0.42805232558139533
train,S2,prior_low,0.3,1.5,88,0.7954545454545454,0.20454545454545456,0.0,-0.06818181818181818,5,0.6,-0.42000000000000004,-0.04075022404301628,-0.07194767441860465,-0.027431594138801897,-0.34805232558139537
train,S2,vah,0.3,1.5,134,0.8134328358208955,0.1865671641791045,0.0,-0.03582089552238809,4,0.75,-0.15000000000000002,-0.04075022404301628,-0.07194767441860465,0.00492932852062819,-0.07805232558139537
train,S2,val,0.3,1.5,113,0.8495575221238938,0.1504424778761062,0.0,0.029203539823008825,4,0.75,-0.15000000000000002,-0.04075022404301628,-0.07194767441860465,0.0699537638660251,-0.07805232558139537
train,S3,poc,0.3,1.5,415,0.8,0.19759036144578312,0.0024096385542168677,-0.05638554216867471,23,0.9565217391304348,0.2217391304347826,-0.04075022404301628,-0.07194767441860465,-0.01563531812565843,0.2936868048533873
train,S3,prior_close,0.3,1.5,455,0.8351648351648352,0.16263736263736264,0.002197802197802198,0.006593406593406593,32,0.78125,-0.09375,-0.04075022404301628,-0.07194767441860465,0.04734363063642287,-0.021802325581395346
train,S3,prior_high,0.3,1.5,331,0.8036253776435045,0.19637462235649547,0.0,-0.05347432024169185,26,0.9230769230769231,0.16153846153846152,-0.04075022404301628,-0.07194767441860465,-0.012724096198675573,0.2334861359570662
train,S3,prior_low,0.3,1.5,211,0.8151658767772512,0.18009478672985782,0.004739336492890996,-0.025592417061611368,25,0.76,-0.132,-0.04075022404301628,-0.07194767441860465,0.015157806981404912,-0.06005232558139535
train,S3,vah,0.3,1.5,422,0.7748815165876777,0.22274881516587677,0.002369668246445498,-0.10165876777251186,20,0.8,-0.06000000000000001,-0.04075022404301628,-0.07194767441860465,-0.06090854372949558,0.011947674418604642
train,S3,val,0.3,1.5,343,0.8192419825072886,0.1749271137026239,0.0058309037900874635,-0.01661807580174928,23,0.9130434782608695,0.14347826086956522,-0.04075022404301628,-0.07194767441860465,0.024132148241267,0.2154259352881699
train,S4,poc,0.3,1.5,404,0.7920792079207921,0.20544554455445543,0.0024752475247524753,-0.07054455445544554,30,0.6666666666666666,-0.3,-0.04075022404301628,-0.07194767441860465,-0.029794330412429258,-0.22805232558139532
train,S4,prior_close,0.3,1.5,458,0.8013100436681223,0.19868995633187772,0.0,-0.057641921397379926,31,0.7419354838709677,-0.16451612903225807,-0.04075022404301628,-0.07194767441860465,-0.016891697354363647,-0.09256845461365341
train,S4,prior_high,0.3,1.5,345,0.7971014492753623,0.2028985507246377,0.0,-0.06521739130434782,22,0.6363636363636364,-0.35454545454545455,-0.04075022404301628,-0.07194767441860465,-0.024467167261331545,-0.2825977801268499
train,S4,prior_low,0.3,1.5,291,0.8213058419243986,0.17869415807560138,0.0,-0.021649484536082463,33,0.8484848484848485,0.027272727272727282,-0.04075022404301628,-0.07194767441860465,0.019100739506933816,0.09922040169133194
train,S4,vah,0.3,1.5,394,0.8071065989847716,0.19289340101522842,0.0,-0.04720812182741119,18,0.6666666666666666,-0.30000000000000004,-0.04075022404301628,-0.07194767441860465,-0.006457897784394907,-0.22805232558139538
train,S4,val,0.3,1.5,353,0.8328611898016998,0.1643059490084986,0.0028328611898017,0.003399433427762048,29,0.7931034482758621,-0.0724137931034483,-0.04075022404301628,-0.07194767441860465,0.04414965747077833,-0.0004661186848436416
train,S1,poc,0.5,0.5,159,0.44025157232704404,0.559748427672956,0.0,-0.059748427672955975,4,0.25,-0.25,-0.04679298425297657,-0.05377906976744186,-0.012955443419979402,-0.19622093023255816
train,S1,prior_close,0.5,0.5,185,0.42162162162162165,0.5783783783783784,0.0,-0.07837837837837838,6,0.5,0.0,-0.04679298425297657,-0.05377906976744186,-0.03158539412540181,0.05377906976744186
train,S1,prior_high,0.5,0.5,116,0.47413793103448276,0.5258620689655172,0.0,-0.02586206896551724,6,0.3333333333333333,-0.16666666666666666,-0.04679298425297657,-0.05377906976744186,0.020930915287459332,-0.1128875968992248
train,S1,prior_low,0.5,0.5,95,0.4,0.6,0.0,-0.1,6,0.5,0.0,-0.04679298425297657,-0.05377906976744186,-0.05320701574702343,0.05377906976744186
train,S1,vah,0.5,0.5,183,0.45901639344262296,0.5409836065573771,0.0,-0.040983606557377046,2,0.5,0.0,-0.04679298425297657,-0.05377906976744186,0.005809377695599527,0.05377906976744186
train,S1,val,0.5,0.5,138,0.43478260869565216,0.5652173913043478,0.0,-0.06521739130434782,5,0.0,-0.5,-0.04679298425297657,-0.05377906976744186,-0.01842440705137125,-0.44622093023255816
train,S2,poc,0.5,0.5,129,0.4186046511627907,0.5813953488372093,0.0,-0.08139534883720931,7,0.5714285714285714,0.07142857142857142,-0.04679298425297657,-0.05377906976744186,-0.034602364584232735,0.1252076411960133
train,S2,prior_close,0.5,0.5,145,0.4689655172413793,0.5310344827586206,0.0,-0.03103448275862069,11,0.6363636363636364,0.13636363636363635,-0.04679298425297657,-0.05377906976744186,0.015758501494355884,0.1901427061310782
train,S2,prior_high,0.5,0.5,99,0.3838383838383838,0.6161616161616161,0.0,-0.11616161616161616,9,0.4444444444444444,-0.05555555555555555,-0.04679298425297657,-0.05377906976744186,-0.0693686319086396,-0.0017764857881136936
train,S2,prior_low,0.5,0.5,88,0.5,0.5,0.0,0.0,5,0.2,-0.3,-0.04679298425297657,-0.05377906976744186,0.04679298425297657,-0.24622093023255814
