minute,mean_vol,median_vol,mean_bp,mean_delta,n,time
813,106919.48854314796,75716.0,0.5195393175235362,5664.258667859595,811,13:33
814,98219.06926987298,72084.0,0.5176237343730126,-794.0394941267232,811,13:34
815,110648.24501254132,79004.0,0.5025806237775838,-2087.2852761532863,811,13:35
816,111142.78010141676,78645.0,0.5152551260988597,4642.548691030103,811,13:36
817,101258.0552078952,73480.0,0.5269651801037163,3133.937856083871,811,13:37
818,98688.91483233661,70599.0,0.5210175528703885,2427.655048079093,811,13:38
819,96649.6126431159,70791.0,0.5470532881391261,6049.438897387426,811,13:39
820,112626.8363779322,84842.0,0.5147755302297905,2471.02735102619,811,13:40
821,105290.39359832306,78818.0,0.47531564290761763,-3106.005079869126,811,13:41
822,109401.26495247966,83461.0,0.4983522334386569,-1355.7943965299714,811,13:42
823,108678.82319700863,78818.0,0.4927203816782688,-4253.134319319643,811,13:43
824,99295.12409904685,72224.0,0.5213060053740916,6744.439543143436,811,13:44
825,107948.7061005635,80963.0,0.5174225458518816,3428.1646810318866,811,13:45
826,108228.01583722072,77232.0,0.5073603284733933,3804.7483805320962,811,13:46
827,97128.05810650185,75843.0,0.5092778188801872,3755.3798263852286,811,13:47
828,98652.62707156228,74403.0,0.5236793636010193,1134.1462313737363,811,13:48
829,96795.12008004192,71834.0,0.5020506547761481,-4805.095950216728,811,13:49
830,105250.58195554132,79582.0,0.5153066792555904,2471.4153113850075,811,13:50
831,98077.32135692849,73838.0,0.5205856494651198,3579.532575443492,811,13:51
832,105922.37972021825,76929.0,0.5305550608292116,1033.7593508555442,811,13:52
833,100867.12297503083,73917.0,0.5221276868564699,5113.17007599215,811,13:53
834,95768.24609789273,70193.0,0.5008086418348685,-502.0148078481423,811,13:54
835,118983.01125579161,86646.0,0.4974068553581647,-2629.771972824267,811,13:55
836,102657.18958257214,75978.0,0.5003836456884099,-2514.796889109018,811,13:56
837,98779.51830103454,72633.0,0.5191213835541709,3088.3412374291183,811,13:57
838,100611.13913323305,75730.0,0.5074850032869239,-478.80189171602706,811,13:58
839,99548.14919323428,75634.0,0.5039867290472165,2709.2729837582433,811,13:59
840,177550.1441128545,127859.0,0.49842266595927587,4398.059852795456,811,14:00
841,147012.70364101234,112532.0,0.5138269320708568,317.5184572758396,811,14:01
842,142917.7940785487,109122.0,0.49623299639101315,-2966.0734616896575,811,14:02
843,135655.06612246364,94299.909694,0.5056122666347376,-1965.9886579492456,811,14:03
844,140515.93098871392,105469.0,0.49350106922905973,1723.2122148417152,811,14:04
845,141982.91447968435,103050.0,0.5111662086499333,2752.9224879663752,811,14:05
846,129187.86195778051,95287.0,0.49540421629952325,-4416.908387396764,811,14:06
847,122080.67829495437,89771.0,0.5190454988832286,-2632.200985727871,811,14:07
848,131869.68870699877,98898.0,0.512133874110956,5553.9234685597485,811,14:08
